Country,Year,Births attended by skilled health personnel (%),Mortality.num,Lower_bound,Upper_bound,Income
Afghanistan,2013,45.2,NA,NA,NA,2000
Albania,1990,NA,71,58,88,2840
Albania,2000,NA,43,33,56,4370
Albania,2008,99.3,NA,NA,NA,8920
Algeria,1990,NA,216,141,327,6330
Algeria,2000,NA,170,118,241,7460
Algeria,2012,96.6,NA,NA,NA,12750
Angola,1990,NA,1160,627,2020,2190
Angola,2000,NA,924,472,1730,2190
Angola,2006,46.7,NA,NA,NA,4260
Armenia,1990,NA,58,51,65,2330
Armenia,2000,NA,40,35,46,2380
Armenia,2010,99.5,NA,NA,NA,6620
Australia,1990,NA,8,7,9,16820
Australia,2000,NA,9,8,10,25580
Australia,2013,99.3,NA,NA,NA,42540
Austria,1990,NA,8,7,10,19180
Austria,2000,NA,5,4,6,28450
Azerbaijan,2000,NA,48,42,55,3350
Azerbaijan,2011,97.2,NA,NA,NA,14590
Bahamas,1990,NA,46,34,61,17480
Bahamas,2000,NA,61,50,74,20020
Bahrain,1990,NA,26,20,33,19200
Bahrain,2000,NA,21,18,26,34880
Bangladesh,1990,NA,569,446,715,710
Bangladesh,2000,NA,399,322,496,1140
Barbados,1990,NA,58,47,72,8250
Barbados,2000,NA,48,38,58,11320
Barbados,2012,98.9,NA,NA,NA,15080
Belarus,1990,NA,33,28,38,5230
Belarus,2000,NA,26,22,31,5770
Belarus,2012,100.0,NA,NA,NA,16800
Belgium,1990,NA,9,7,10,18650
Belgium,2000,NA,9,8,11,28310
Belize,1990,NA,54,45,65,3280
Belize,2000,NA,53,45,62,6160
Belize,2011,95.1,NA,NA,NA,7940
Benin,1990,NA,576,453,726,860
Benin,2000,NA,572,448,732,1200
Bhutan,1990,NA,945,697,1260,1420
Bhutan,2000,NA,423,328,538,2860
Bhutan,2012,74.6,NA,NA,NA,6960
Bolivia (Plurinational State of),1990,NA,425,340,527,2300
Bolivia (Plurinational State of),2000,NA,334,272,416,3340
Bolivia (Plurinational State of),2012,85.1,NA,NA,NA,5400
Bosnia and Herzegovina,2000,NA,17,12,24,4840
Botswana,1990,NA,243,149,352,5070
Botswana,2000,NA,311,261,361,7620
Botswana,2013,99.9,NA,NA,NA,15500
Brazil,1990,NA,104,91,119,6300
Brazil,2000,NA,66,64,67,8500
Brazil,2013,99.1,NA,NA,NA,14750
Brunei Darussalam,1990,NA,35,25,48,49930
Brunei Darussalam,2000,NA,31,25,39,59100
Bulgaria,1990,NA,25,21,29,4970
Bulgaria,2000,NA,21,18,25,6080
Burkina Faso,1990,NA,727,549,978,540
Burkina Faso,2000,NA,547,432,686,840
Burkina Faso,2010,65.9,NA,NA,NA,1390
Burundi,1990,NA,1220,848,1760,670
Burundi,2000,NA,954,682,1310,580
Burundi,2010,60.3,NA,NA,NA,710
Cabo Verde,1990,NA,256,141,460,1050
Cabo Verde,2000,NA,83,45,162,2910
Cabo Verde,2013,92.3,NA,NA,NA,6220
Cambodia,2000,NA,484,396,596,1050
Cameroon,1990,NA,728,566,926,1640
Cameroon,2000,NA,750,615,918,1710
Canada,1990,NA,7,7,8,19150
Canada,2000,NA,9,9,10,28240
Canada,2011,98.4,NA,NA,NA,40570
Central African Republic,1990,NA,1290,979,1720,500
Central African Republic,2000,NA,1200,836,1750,550
Central African Republic,2010,40.0,NA,NA,NA,880
Chad,1990,NA,1450,1100,1900,710
Chad,2000,NA,1370,1070,1790,730
Chile,1990,NA,57,51,64,4140
Chile,2000,NA,31,27,34,9320
Chile,2013,99.8,NA,NA,NA,21030
China,1990,NA,97,80,117,1010
China,2000,NA,58,52,65,2830
Colombia,1990,NA,118,94,142,4760
Colombia,2000,NA,97,90,104,6520
Colombia,2013,98.7,NA,NA,NA,11890
Comoros,1990,NA,635,414,961,1170
Comoros,2000,NA,499,324,765,1250
Comoros,2012,82.2,NA,NA,NA,1520
Congo,1990,NA,603,421,857,2830
Congo,2000,NA,653,492,864,2590
Costa Rica,1990,NA,43,38,48,4590
Costa Rica,2000,NA,38,35,43,6990
Cote d'Ivoire,1990,NA,745,577,964,1710
Cote d'Ivoire,2000,NA,671,522,856,2160
Cote d'Ivoire,2011,56.4,NA,NA,NA,2460
Croatia,2000,NA,11,9,13,10730
Cuba,1990,NA,58,51,65,8580
Cuba,2000,NA,43,39,47,8670
Cyprus,1990,NA,16,10,26,12500
Cyprus,2000,NA,15,9,25,18190
Cyprus,2013,99.9,NA,NA,NA,28830
Czech Republic,2000,NA,7,6,8,15320
Czech Republic,2013,99.8,NA,NA,NA,25530
Democratic Republic of the Congo,1990,NA,879,610,1250,750
Democratic Republic of the Congo,2000,NA,874,639,1160,410
Democratic Republic of the Congo,2013,80.1,NA,NA,NA,680
Denmark,1990,NA,11,9,12,17980
Denmark,2000,NA,9,8,10,28240
Denmark,2012,98.2,NA,NA,NA,43200
Djibouti,2000,NA,401,218,759,1700
Dominican Republic,1990,NA,198,133,292,2950
Dominican Republic,2000,NA,79,74,83,5460
Ecuador,1990,NA,185,164,211,4380
Ecuador,2000,NA,103,91,116,5310
Egypt,1990,NA,106,90,128,3800
Egypt,2000,NA,63,56,71,6260
El Salvador,1990,NA,157,134,185,2820
El Salvador,2000,NA,84,75,95,4880
Equatorial Guinea,1990,NA,1310,819,2080,730
Equatorial Guinea,2000,NA,702,457,1060,6030
Equatorial Guinea,2011,68.3,NA,NA,NA,27630
Eritrea,2000,NA,733,527,995,1150
Eritrea,2010,34.1,NA,NA,NA,1050
Estonia,2000,NA,26,21,31,9380
Ethiopia,1990,NA,1250,906,1640,410
Ethiopia,2000,NA,897,718,1100,480
Fiji,1990,NA,63,47,98,3790
Fiji,2000,NA,42,33,53,5560
Fiji,2013,98.8,NA,NA,NA,7610
Finland,1990,NA,6,5,7,17090
Finland,2000,NA,5,4,6,25500
France,1990,NA,15,13,16,17130
France,2000,NA,12,11,13,25560
France,2013,98.3,NA,NA,NA,37580
Gabon,1990,NA,422,290,599,11120
Gabon,2000,NA,405,298,550,11710
Gabon,2012,89.3,NA,NA,NA,16490
Gambia,1990,NA,1030,672,1490,900
Gambia,2000,NA,887,609,1250,1190
Gambia,2013,57.2,NA,NA,NA,1620
Georgia,1990,NA,34,29,40,5210
Georgia,2000,NA,37,30,44,2700
Germany,1990,NA,11,10,13,18750
Germany,2000,NA,8,7,9,25510
Ghana,1990,NA,634,436,911,1200
Ghana,2000,NA,467,342,645,1720
Greece,1990,NA,5,4,6,12950
Greece,2000,NA,4,3,4,18340
Grenada,1990,NA,41,30,53,4580
Grenada,2000,NA,29,21,38,7210
Guatemala,1990,NA,205,194,217,3370
Guatemala,2000,NA,178,170,186,4950
Guinea,1990,NA,1040,782,1360,690
Guinea,2000,NA,976,787,1200,880
Guinea,2012,45.3,NA,NA,NA,1140
Guinea-Bissau,1990,NA,907,512,1540,930
Guinea-Bissau,2000,NA,800,417,1450,560
Guyana,1990,NA,171,141,197,1450
Guyana,2000,NA,210,185,241,3730
Haiti,2012,37.3,NA,NA,NA,1640
Honduras,1990,NA,272,256,290,1900
Honduras,2000,NA,133,115,154,2680
Honduras,2011,82.8,NA,NA,NA,4110
Hungary,1990,NA,24,21,28,8540
Hungary,2000,NA,15,12,18,11310
Hungary,2010,99.1,NA,NA,NA,20140
Iceland,1990,NA,7,5,9,20580
Iceland,2000,NA,5,3,7,28070
India,1990,NA,556,445,685,1160
India,2000,NA,374,324,437,2040
India,2013,74.4,NA,NA,NA,5350
Indonesia,1990,NA,446,347,564,2660
Indonesia,2000,NA,265,213,324,4010
Indonesia,2013,87.4,NA,NA,NA,9260
Iran (Islamic Republic of),1990,NA,123,98,171,5620
Iran (Islamic Republic of),2000,NA,51,43,60,8490
Iraq,2011,90.9,NA,NA,NA,13620
Ireland,1990,NA,11,9,13,12050
Ireland,2000,NA,9,8,11,24930
Israel,1990,NA,11,10,13,13100
Israel,2000,NA,8,7,9,21480
Italy,1990,NA,8,7,9,17360
Italy,2000,NA,5,4,6,25590
Italy,2013,99.9,NA,NA,NA,34100
Jamaica,1990,NA,79,64,97,4330
Jamaica,2000,NA,89,79,100,6210
Jamaica,2011,98.6,NA,NA,NA,8170
Japan,1990,NA,14,12,15,19370
Japan,2000,NA,10,9,11,26260
Jordan,1990,NA,110,88,140,4340
Jordan,2000,NA,77,66,92,6180
Jordan,2012,99.6,NA,NA,NA,11390
